YTID,start_seconds,end_seconds,positive_labels
2a6tud6C4JQ,50.0,60.0,/m/02cz_7
3VtUW4hl568,370.0,380.0,/m/02cz_7
BiBk_JCPmI8,60.0,70.0,/m/02cz_7
CnYRUm0HPaI,120.0,130.0,/m/02cz_7
ETYlYOVUYoU,130.0,140.0,/m/02cz_7
JxD9_hxe4Ow,200.0,210.0,/m/02cz_7
RbDVQQ5e0co,550.0,560.0,/m/02cz_7
g9NduchHNsk,40.0,50.0,/m/02cz_7
jttmgqitjMM,160.0,170.0,/m/02cz_7
k1IBejDIg3s,320.0,330.0,/m/02cz_7
k6zxiBFJTs4,20.0,30.0,/m/02cz_7
m2QZEuu2n18,20.0,30.0,/m/02cz_7
qCpWjS0bAwc,30.0,40.0,/m/02cz_7
ueyTTYw7990,30.0,40.0,/m/02cz_7
vfc8rbT-qvM,30.0,40.0,/m/02cz_7
wDY4Ez1wNtA,100.0,110.0,/m/02cz_7
--bJLzZpQdU,270.0,280.0,/m/02cz_7
-4x-B227Su8,220.0,230.0,/m/02cz_7
-93y_ndmxVo,10.0,20.0,/m/02cz_7
-AGCBXxyIJU,80.0,90.0,/m/02cz_7
-EI61WqUJ2I,20.0,30.0,/m/02cz_7
-LWD8KUtrmI,30.0,40.0,/m/02cz_7
-NCz0stTddE,50.0,60.0,/m/02cz_7
-U0Is0dQLD4,160.0,170.0,/m/02cz_7
-Y3u0MC9cSU,10.0,20.0,/m/02cz_7
-auLUJJUUKc,0.0,10.0,/m/02cz_7
-jXoUm_lW4s,260.0,270.0,/m/02cz_7
-nPr0689Gg0,180.0,190.0,/m/02cz_7
-oM2J2hWv8A,90.0,100.0,/m/02cz_7
0-GVuyc-HMQ,130.0,140.0,/m/02cz_7
019eryYc1uY,230.0,240.0,/m/02cz_7
0E6b8qqYLHE,160.0,170.0,/m/02cz_7
0MMxwvf6yyE,10.0,20.0,/m/02cz_7
0aGlkTEJtac,100.0,110.0,/m/02cz_7
0cgZ_2NI7JI,60.0,70.0,/m/02cz_7
0hGXpoKusPo,50.0,60.0,/m/02cz_7
0ogHeq06vZg,10.0,20.0,/m/02cz_7
0olWD2feLgg,0.0,10.0,/m/02cz_7
0r1T-J_GB-Y,310.0,320.0,/m/02cz_7
176szywj2ww,30.0,40.0,/m/02cz_7
18WFRf0Ygv0,0.0,10.0,/m/02cz_7
1HUDVjU-1Gk,70.0,80.0,/m/02cz_7
1OqBJ-r02_0,50.0,60.0,/m/02cz_7
1OuQCzfsSlQ,40.0,50.0,/m/02cz_7
1QmkhCzV7J4,20.0,30.0,/m/02cz_7
1UNEzAtaXgo,380.0,390.0,/m/02cz_7
1UsRyf-qqPo,0.0,10.0,/m/02cz_7
1VfdRCjEjMg,50.0,60.0,/m/02cz_7
1ZRhwMRZyBs,60.0,70.0,/m/02cz_7
1gLpcM3B_dM,40.0,50.0,/m/02cz_7
1ipYTcE0zsM,30.0,40.0,/m/02cz_7
1qC_agbasTo,40.0,50.0,/m/02cz_7
1wz1s0IMAJo,40.0,50.0,/m/02cz_7
1y2IX-visOE,50.0,60.0,/m/02cz_7
2-CZWenDAuI,50.0,60.0,/m/02cz_7
2-KlgeBiOfw,210.0,220.0,/m/02cz_7
299KOsA622Y,270.0,280.0,/m/02cz_7
29QP62E026A,20.0,30.0,/m/02cz_7
2GzyYNYQZlE,140.0,150.0,/m/02cz_7
2NNIx2AU1Ik,80.0,90.0,/m/02cz_7
2XGISXBpk-M,0.0,10.0,/m/02cz_7
2Y1-Pv9Xp5Y,110.0,120.0,/m/02cz_7
2YgksWSVNjE,340.0,350.0,/m/02cz_7
2a0X_JZEK6Q,100.0,110.0,/m/02cz_7
2g1VG41QHPw,100.0,110.0,/m/02cz_7
2hwosbFUHCY,130.0,140.0,/m/02cz_7
2kZyvVzJ390,340.0,350.0,/m/02cz_7
2kqyFCwyVO4,30.0,40.0,/m/02cz_7
2laF3LVt1Wc,130.0,140.0,/m/02cz_7
3AUANKdw14M,180.0,190.0,/m/02cz_7
3BnOYLqOwH4,270.0,280.0,/m/02cz_7
3QWiZXi7Fyk,170.0,180.0,/m/02cz_7
3YqjsYYOePc,140.0,150.0,/m/02cz_7
3_-3HkIm_Tk,60.0,70.0,/m/02cz_7
3_s8k5FJFNA,140.0,150.0,/m/02cz_7
3lg9gM2UWwA,20.0,30.0,/m/02cz_7
3t60lB7cALI,0.0,10.0,/m/02cz_7
3t88bnUERc8,290.0,300.0,/m/02cz_7
3wn0UjuQ-Q8,100.0,110.0,/m/02cz_7
3yKYwCpto44,0.0,10.0,/m/02cz_7
4AT-An36cjQ,50.0,60.0,/m/02cz_7
4C_3Pvs3t_k,80.0,90.0,/m/02cz_7
4IGVwBlM0uk,0.0,10.0,/m/02cz_7
4L_YyPUukl0,20.0,30.0,/m/02cz_7
4WiYxPOKL9U,130.0,140.0,/m/02cz_7
4cVEV6uEYqE,70.0,80.0,/m/02cz_7
4iyk_AOp8yI,170.0,180.0,/m/02cz_7
4vl5wHl2ufQ,120.0,130.0,/m/02cz_7
4wxrYTxQ8sA,250.0,260.0,/m/02cz_7
4yUGZPP1JQE,100.0,110.0,/m/02cz_7
53q75HmLDGA,50.0,60.0,/m/02cz_7
5Ex-hA0vIvY,0.0,10.0,/m/02cz_7
5FP8yIN95uE,70.0,80.0,/m/02cz_7
5J2qj5DBDUs,110.0,120.0,/m/02cz_7
5fR2A0W230c,0.0,10.0,/m/02cz_7
5rRuaxcGFbY,110.0,120.0,/m/02cz_7
5uCou7rg5AM,70.0,80.0,/m/02cz_7
5wETTTWY7bg,30.0,40.0,/m/02cz_7
5wRnUkELLEM,100.0,110.0,/m/02cz_7
6-aUAZ3Fzy0,50.0,60.0,/m/02cz_7
65uJG5Mp1Qw,120.0,130.0,/m/02cz_7
6H72symjB7k,20.0,30.0,/m/02cz_7
6Jy1FABxg3g,0.0,10.0,/m/02cz_7
6T4QPT1xXzg,0.0,10.0,/m/02cz_7
6cTn1Bii5NE,20.0,30.0,/m/02cz_7
6eOzj2ebUlE,30.0,40.0,/m/02cz_7
6fU6JXvjZUE,0.0,10.0,/m/02cz_7
6hWeL4l6fVk,90.0,100.0,/m/02cz_7
6yKGENNkxyc,10.0,20.0,/m/02cz_7
6zgpOLBLGOU,10.0,20.0,/m/02cz_7
70594IKhPrU,10.0,20.0,/m/02cz_7
72KPFPNylxw,20.0,30.0,/m/02cz_7
7R0xyinevOE,40.0,50.0,/m/02cz_7
7YczbBiVNqc,10.0,20.0,/m/02cz_7
7__OqA85DGA,20.0,30.0,/m/02cz_7
7bzcsRMC8oI,7.0,17.0,/m/02cz_7
7evoN-U0p4U,180.0,190.0,/m/02cz_7
7fDSRBscinA,150.0,160.0,/m/02cz_7
7fPjzNmfOWk,20.0,30.0,/m/02cz_7
7r0yYpV35d4,150.0,160.0,/m/02cz_7
7s2L6tZkM7Q,10.0,20.0,/m/02cz_7
7stJzKi9ZxM,70.0,80.0,/m/02cz_7
7vHSdte7IEg,60.0,70.0,/m/02cz_7
80NcmmlXEl8,50.0,60.0,/m/02cz_7
86M4F9GGhck,20.0,30.0,/m/02cz_7
86QiS556g7s,0.0,10.0,/m/02cz_7
89Y0IaMUQww,120.0,130.0,/m/02cz_7
8D3hn2dkZOM,80.0,90.0,/m/02cz_7
8IFu5T108cs,20.0,30.0,/m/02cz_7
8Tzjl8aGeKs,100.0,110.0,/m/02cz_7
8U7hwJPHUjY,10.0,20.0,/m/02cz_7
8Xqs0-NCniw,50.0,60.0,/m/02cz_7
8b8LA48gpo4,170.0,180.0,/m/02cz_7
8idC8V4SULA,50.0,60.0,/m/02cz_7
8qni1nIjaYo,60.0,70.0,/m/02cz_7
8rTjLpjmrK4,120.0,130.0,/m/02cz_7
8rVbEsdgCfs,30.0,40.0,/m/02cz_7
8rq6AY4PKSA,30.0,40.0,/m/02cz_7
8yXtFztQ8qU,130.0,140.0,/m/02cz_7
8zAmtu9qoUY,70.0,80.0,/m/02cz_7
91grAzht6w0,130.0,140.0,/m/02cz_7
95SYCuLHsNc,30.0,40.0,/m/02cz_7
98pnPqZ27JU,40.0,50.0,/m/02cz_7
9AK2cCsSJlY,510.0,520.0,/m/02cz_7
9BuOuQjDfew,50.0,60.0,/m/02cz_7
9S5VTzu6vWM,90.0,100.0,/m/02cz_7
9UdzC_2w2cA,150.0,160.0,/m/02cz_7
9UfGGZn6-J8,120.0,130.0,/m/02cz_7
9XhYUaetbnQ,0.0,10.0,/m/02cz_7
9YSpAK3GhIQ,160.0,170.0,/m/02cz_7
9_-UctaLKUo,60.0,70.0,/m/02cz_7
9_Zc3JkBun8,50.0,60.0,/m/02cz_7
9ca1V8xaoL4,20.0,30.0,/m/02cz_7
9g-BZiXcsLg,10.0,20.0,/m/02cz_7
9mBCO0Usr3o,20.0,30.0,/m/02cz_7
9s1BAHRi0eo,0.0,10.0,/m/02cz_7
A2bLdfIOlzM,20.0,30.0,/m/02cz_7
AGLfMeQuduo,20.0,30.0,/m/02cz_7
AXiWEgQQeEA,280.0,290.0,/m/02cz_7
AeGaMgxo0k0,0.0,10.0,/m/02cz_7
AkDu03sV-L8,80.0,90.0,/m/02cz_7
ApI6ee7-RaA,50.0,60.0,/m/02cz_7
ArwjCLCC5Ug,10.0,20.0,/m/02cz_7
At3tVFDYWrs,260.0,270.0,/m/02cz_7
AtGygC_mwJ4,10.0,20.0,/m/02cz_7
AtfkB_rX1DM,80.0,90.0,/m/02cz_7
AtkLXi0fb4U,10.0,20.0,/m/02cz_7
AvvsytTZAZw,40.0,50.0,/m/02cz_7
Az5oppNTUjA,200.0,210.0,/m/02cz_7
BiP_iIUmBVs,50.0,60.0,/m/02cz_7
BihPNd3EJak,320.0,330.0,/m/02cz_7
BnnwUAJ2GeA,220.0,230.0,/m/02cz_7
BqqoyvW_MTg,20.0,30.0,/m/02cz_7
Bv2tZlsePTA,40.0,50.0,/m/02cz_7
BxHR-EfsIeM,10.0,20.0,/m/02cz_7
C-6-MkI1CSM,30.0,40.0,/m/02cz_7
C0kta9kfU0c,0.0,10.0,/m/02cz_7
C5bqhWJzVlw,20.0,30.0,/m/02cz_7
CAKF0mnTDL0,20.0,30.0,/m/02cz_7
CIoV_s6W3Ps,60.0,70.0,/m/02cz_7
CW8gCwsbs3U,370.0,380.0,/m/02cz_7
Cc2eAiYP1M8,90.0,100.0,/m/02cz_7
CcZwbQEtFlw,0.0,10.0,/m/02cz_7
CpXN1fCx3ds,80.0,90.0,/m/02cz_7
Cywlh7MGdFE,440.0,450.0,/m/02cz_7
CzmC3G74_kA,140.0,150.0,/m/02cz_7
D0Suzja_RUM,70.0,80.0,/m/02cz_7
D0zzZOioXpg,90.0,100.0,/m/02cz_7
DETLHFOigsI,130.0,140.0,/m/02cz_7
DH0c6ECIriQ,30.0,40.0,/m/02cz_7
DOrfocTpmbY,110.0,120.0,/m/02cz_7
DRb7fmC30Ao,140.0,150.0,/m/02cz_7
DWL7Lwez3ks,30.0,40.0,/m/02cz_7
D_0KJ3yBxxk,20.0,30.0,/m/02cz_7
DkgSshnDMvY,90.0,100.0,/m/02cz_7
DtZU23-eVrY,60.0,70.0,/m/02cz_7
ENt5OhG1I64,50.0,60.0,/m/02cz_7
EOCww_iqk2E,10.0,20.0,/m/02cz_7
ERUhxiGM_HM,120.0,130.0,/m/02cz_7
EYDdXgkNfyQ,190.0,200.0,/m/02cz_7
E_-E_bsSJ9w,130.0,140.0,/m/02cz_7
EbkWWivWx0s,120.0,130.0,/m/02cz_7
En6LVcfAuag,50.0,60.0,/m/02cz_7
Enj2xFQNTjk,30.0,40.0,/m/02cz_7
Epdz2WI1z-k,340.0,350.0,/m/02cz_7
EqyZls_NNSs,190.0,200.0,/m/02cz_7
Erqg-oH1Vyw,130.0,140.0,/m/02cz_7
EsGTjNRQ5r8,100.0,110.0,/m/02cz_7
Et4BSPWG3Eo,250.0,260.0,/m/02cz_7
F3At6txRQxk,30.0,40.0,/m/02cz_7
F7B9gz2uIBo,20.0,30.0,/m/02cz_7
F7Wdyd7OG9E,0.0,10.0,/m/02cz_7
F8rzwlL7M0M,0.0,10.0,/m/02cz_7
FBajJD1Vo0I,400.0,410.0,/m/02cz_7
FGJatUi_YDM,60.0,70.0,/m/02cz_7
FKA66fs5KBk,90.0,100.0,/m/02cz_7
FKEtJ0XJF-0,430.0,440.0,/m/02cz_7
FOt03SrdBoE,30.0,40.0,/m/02cz_7
FSR9vvd525o,0.0,10.0,/m/02cz_7
FTiOwuQUs8k,0.0,10.0,/m/02cz_7
FXaOWdxYQ7c,20.0,30.0,/m/02cz_7
FYtYRQIgl6g,30.0,40.0,/m/02cz_7
FZDvNeG1dho,90.0,100.0,/m/02cz_7
FZfhZMfKHd0,60.0,70.0,/m/02cz_7
FZgwzebWqAk,20.0,30.0,/m/02cz_7
Fl_R-iPnDXo,380.0,390.0,/m/02cz_7
FzlUquPHtLQ,320.0,330.0,/m/02cz_7
G5JJz4a3aeA,110.0,120.0,/m/02cz_7
G71_-qdJ240,0.0,10.0,/m/02cz_7
GD5HV94KpCI,30.0,40.0,/m/02cz_7
GEn9QkLAbC8,80.0,90.0,/m/02cz_7
GILFxUu87Kg,120.0,130.0,/m/02cz_7
GPQmaeJF-F8,180.0,190.0,/m/02cz_7
GSHm6Zw-x4o,130.0,140.0,/m/02cz_7
GZ5IyIRzVDA,100.0,110.0,/m/02cz_7
G_bxNfYOiEY,90.0,100.0,/m/02cz_7
GiCCqpp9Gjg,120.0,130.0,/m/02cz_7
GqqGgtIE-YY,40.0,50.0,/m/02cz_7
GvMNXo5iG5M,190.0,200.0,/m/02cz_7
GwKVB2sNX5A,10.0,20.0,/m/02cz_7
GxO203w4BT0,10.0,20.0,/m/02cz_7
H-PBSytsBG8,60.0,70.0,/m/02cz_7
H6m5O47-mAw,120.0,130.0,/m/02cz_7
H7b09N89Sqc,0.0,10.0,/m/02cz_7
HIwvHkDs_tQ,160.0,170.0,/m/02cz_7
HMTsmGIFwHE,70.0,80.0,/m/02cz_7
HX5sQEp8ItU,20.0,30.0,/m/02cz_7
HgwnMFqo9K4,120.0,130.0,/m/02cz_7
Hm0CK-Me49M,150.0,160.0,/m/02cz_7
HuaU1_e1pVo,90.0,100.0,/m/02cz_7
HwZieNM4oFY,100.0,110.0,/m/02cz_7
HzClwbjqiGs,210.0,220.0,/m/02cz_7
I2ETwAcgyvY,30.0,40.0,/m/02cz_7
I2PWLbo8D3M,190.0,200.0,/m/02cz_7
I3vaVv3Fhc4,400.0,410.0,/m/02cz_7
I8G75WNkkI0,20.0,30.0,/m/02cz_7
IAReQ1KWwog,240.0,250.0,/m/02cz_7
IRNfEzEfO48,0.0,10.0,/m/02cz_7
IZqAcpXXsz8,70.0,80.0,/m/02cz_7
ImwYxK8twEI,60.0,70.0,/m/02cz_7
Iqh6nzMuWl0,70.0,80.0,/m/02cz_7
Iwx2yb_Re9Q,20.0,30.0,/m/02cz_7
Iz9E9JqHRGc,70.0,80.0,/m/02cz_7
IzFNpsq64C8,110.0,120.0,/m/02cz_7
J1c5AWPYsiA,380.0,390.0,/m/02cz_7
J4lC7njEYSE,10.0,20.0,/m/02cz_7
J5OZFWtVRjo,170.0,180.0,/m/02cz_7
JAFSerBpskE,40.0,50.0,/m/02cz_7
JJCRvnV6sAI,170.0,180.0,/m/02cz_7
JQ-Rw9zep0g,470.0,480.0,/m/02cz_7
JQevXjfr_W0,20.0,30.0,/m/02cz_7
JQoJtzglEuQ,0.0,10.0,/m/02cz_7
JX8rUflih9w,240.0,250.0,/m/02cz_7
JXDhTKQ0CGE,140.0,150.0,/m/02cz_7
J_mF0H5ATM8,190.0,200.0,/m/02cz_7
J_o-Dl-RIbg,30.0,40.0,/m/02cz_7
JaJXjt-zneo,40.0,50.0,/m/02cz_7
Jn4sk39Zsyg,150.0,160.0,/m/02cz_7
Jo2Yr3s-zvI,100.0,110.0,/m/02cz_7
Jp2DLykQMUU,40.0,50.0,/m/02cz_7
JpY0d-5Dj9c,10.0,20.0,/m/02cz_7
JrFh63CZ6xA,220.0,230.0,/m/02cz_7
Jz5Skf3NxYo,180.0,190.0,/m/02cz_7
K3pHOz1z0ho,120.0,130.0,/m/02cz_7
K5jZqcFJ_AQ,380.0,390.0,/m/02cz_7
K7mRqqOW8es,100.0,110.0,/m/02cz_7
K9jkpVj-FOQ,190.0,200.0,/m/02cz_7
K9szKF-X-D8,0.0,10.0,/m/02cz_7
KAsrb48cwQY,130.0,140.0,/m/02cz_7
KHK-n7RRhls,0.0,10.0,/m/02cz_7
KPNAKvwyO7w,10.0,20.0,/m/02cz_7
KPqSJRJLZ9U,90.0,100.0,/m/02cz_7
KdIz63AXhDc,50.0,60.0,/m/02cz_7
KfDwr6kspK4,110.0,120.0,/m/02cz_7
KgkUcXcgUSw,20.0,30.0,/m/02cz_7
KqSkD4A6BC4,30.0,40.0,/m/02cz_7
KraXErKFMIw,60.0,70.0,/m/02cz_7
KydHSGYi6jU,30.0,40.0,/m/02cz_7
KzrFZqbwXVY,30.0,40.0,/m/02cz_7
L34geAYqxv0,40.0,50.0,/m/02cz_7
LBNzTsoKc_k,30.0,40.0,/m/02cz_7
LNLsOZLsnkE,120.0,130.0,/m/02cz_7
LQUrQSbavKM,370.0,380.0,/m/02cz_7
LSNMEaawBaI,50.0,60.0,/m/02cz_7
LZLhHYdVrww,60.0,70.0,/m/02cz_7
Ld2jbkfgEVc,220.0,230.0,/m/02cz_7
LofkxPjcKIw,310.0,320.0,/m/02cz_7
LrUHT4rf00A,20.0,30.0,/m/02cz_7
M1_5zBIVgJ8,60.0,70.0,/m/02cz_7
M1tHKCAJ7uM,20.0,30.0,/m/02cz_7
M2QTTzgS_Vs,130.0,140.0,/m/02cz_7
MAH76-Y_Q2o,60.0,70.0,/m/02cz_7
MBZdGGppOOw,170.0,180.0,/m/02cz_7
MKFd3sSDK0k,260.0,270.0,/m/02cz_7
MT6L-BNaOW0,30.0,40.0,/m/02cz_7
MTdGxBPyQG0,100.0,110.0,/m/02cz_7
MY77IzmIoL8,40.0,50.0,/m/02cz_7
MasqfJ2-smA,80.0,90.0,/m/02cz_7
Mb5tD8SYib0,0.0,10.0,/m/02cz_7
MiNLNf6Com0,110.0,120.0,/m/02cz_7
MrAIXioOuFs,80.0,90.0,/m/02cz_7
MyXyh5SkpHA,120.0,130.0,/m/02cz_7
MzpupN6VbSk,180.0,190.0,/m/02cz_7
N6fT3CWDlh4,20.0,30.0,/m/02cz_7
N7wScRKHzeI,70.0,80.0,/m/02cz_7
N8ERWbMoCto,0.0,10.0,/m/02cz_7
NFezsbp5nag,50.0,60.0,/m/02cz_7
NJ6YYtCQPkk,0.0,10.0,/m/02cz_7
NLSE9Q4qhxo,40.0,50.0,/m/02cz_7
NQfEVnoD5eQ,160.0,170.0,/m/02cz_7
NUm6n4dstiU,80.0,90.0,/m/02cz_7
N_HiP7FGcKY,220.0,230.0,/m/02cz_7
Ngw1clf7grE,0.0,10.0,/m/02cz_7
NmTGf1ShtaE,200.0,210.0,/m/02cz_7
NwiBi8x82YY,10.0,20.0,/m/02cz_7
O3fsfnYaQAI,50.0,60.0,/m/02cz_7
O8Al3_q5tPU,70.0,80.0,/m/02cz_7
OB10KZv9pC8,50.0,60.0,/m/02cz_7
OEne-tZnHfo,320.0,330.0,/m/02cz_7
OGcDMT75Ea4,170.0,180.0,/m/02cz_7
OQIh4BQVcHY,50.0,60.0,/m/02cz_7
OaEXarh9goo,60.0,70.0,/m/02cz_7
OfOjUFM3dYY,150.0,160.0,/m/02cz_7
OiRGubYikCU,30.0,40.0,/m/02cz_7
Orx5LNDEC84,10.0,20.0,/m/02cz_7
OsRmeQAieYs,80.0,90.0,/m/02cz_7
P4nmRiMLZqw,50.0,60.0,/m/02cz_7
PFcNjfdU8CA,100.0,110.0,/m/02cz_7
P_WfoVaW-KQ,0.0,10.0,/m/02cz_7
PfjYkdYa5GU,340.0,350.0,/m/02cz_7
Ph668YQgRFc,150.0,160.0,/m/02cz_7
PjecL1UvVm8,0.0,10.0,/m/02cz_7
PlXqvSqc8Hw,20.0,30.0,/m/02cz_7
PmpqBhGYtr0,130.0,140.0,/m/02cz_7
PnFJoaNrs-4,30.0,40.0,/m/02cz_7
PpCtd_TT2X8,30.0,40.0,/m/02cz_7
PusTFSzZfMI,60.0,70.0,/m/02cz_7
PvIIqnqAEPM,0.0,10.0,/m/02cz_7
QAMDEO0quwY,70.0,80.0,/m/02cz_7
QCEq9pvtqyc,160.0,170.0,/m/02cz_7
QD7PrJ7-NWQ,100.0,110.0,/m/02cz_7
QKOQYh8L9iI,70.0,80.0,/m/02cz_7
QKxxpKuQsCI,40.0,50.0,/m/02cz_7
QQ7P6FwXhF0,90.0,100.0,/m/02cz_7
QU2LTo0Aerc,0.0,10.0,/m/02cz_7
Qdf_CbV07y0,90.0,100.0,/m/02cz_7
Qh3klnPXVbA,130.0,140.0,/m/02cz_7
QhiROMFOOp0,20.0,30.0,/m/02cz_7
Qi5ObYMLsK0,30.0,40.0,/m/02cz_7
QmvE6gIvePI,40.0,50.0,/m/02cz_7
QwLI5FmIzXc,140.0,150.0,/m/02cz_7
R-zF7dwoPE4,30.0,40.0,/m/02cz_7
R2FZjHDzPek,30.0,40.0,/m/02cz_7
RJg-vA3ZZgQ,130.0,140.0,/m/02cz_7
ROid1Npf5sk,60.0,70.0,/m/02cz_7
RTWihv7dTxQ,130.0,140.0,/m/02cz_7
RY2kUMsW_hw,100.0,110.0,/m/02cz_7
Rn4NcaN7yhA,100.0,110.0,/m/02cz_7
RnVFdhzyXjo,40.0,50.0,/m/02cz_7
Rnm0kIcClW8,270.0,280.0,/m/02cz_7
RtIns8-BgDg,40.0,50.0,/m/02cz_7
Rvg8PnJ8UzM,70.0,80.0,/m/02cz_7
S6V8mLJLzCw,40.0,50.0,/m/02cz_7
SFcaIgy-RAY,0.0,7.0,/m/02cz_7
SLxoT-kVRXs,390.0,400.0,/m/02cz_7
S_9UtD9bV1o,120.0,130.0,/m/02cz_7
T1PQZrlz7-Y,360.0,370.0,/m/02cz_7
T3zwNF3U01s,80.0,90.0,/m/02cz_7
T8ggQqM0shg,420.0,430.0,/m/02cz_7
T8q6IU9e5Yo,40.0,50.0,/m/02cz_7
TMaYl153Qao,230.0,240.0,/m/02cz_7
